"sofifa_id","short_name","age","day_birthday","height_cm","weight_kg","nationality","club","overall","potential","value_eur","wage_eur","player_positions","weak_foot","skill_moves"
"168542","David Silva","33","31420","173","67","Spain","Manchester City","88","88","36000000","265000","CAM","Left","2"
"179813","E. Cavani","32","31822","185","77","Uruguay","Paris Saint-Germain","88","88","47000000","195000","ST","Right","3"
"182493","D. GodĂ­n","33","31459","187","78","Uruguay","Inter","88","88","28000000","135000","CB","Right","2"
"182521","T. Kroos","29","32877","183","76","Germany","Real Madrid","88","88","57000000","330000","CM","Right","3"
"188350","M. Reus","30","32659","180","71","Germany","Borussia Dortmund","88","88","56000000","170000","CAM","Right","4"
"188567","P. Aubameyang","30","32677","187","80","Gabon","Arsenal","88","88","57000000","205000","ST","Right","4"
"208722","S. ManĂ©","27","33704","175","69","Senegal","Liverpool","88","88","62000000","220000","LW","Right","4"
"212218","A. Laporte","25","34481","189","85","France","Manchester City","87","90","56500000","195000","CB","Left","3"
"218667","Bernardo Silva","24","34556","173","64","Portugal","Manchester City","87","90","64000000","210000","RW","Left","2"
"200145","Casemiro","27","33657","185","84","Brazil","Real Madrid","87","89","53500000","240000","CDM","Right","2"
"200104","H. Son","26","33793","183","78","Korea Republic","Tottenham Hotspur","87","88","60000000","185000","CF","Right","5"
"135507","Fernandinho","34","31171","179","67","Brazil","Manchester City","87","87","19500000","200000","CDM","Right","3"
"164240","Thiago Silva","34","30947","183","82","Brazil","Paris Saint-Germain","87","87","18500000","135000","CB","Right","2"
"165153","K. Benzema","31","32130","185","81","France","Real Madrid","87","87","45000000","285000","CF","Right","4"
"172871","J. Vertonghen","32","31891","189","86","Belgium","Tottenham Hotspur","87","87","32500000","155000","CB","Left","3"
"175943","D. Mertens","32","31903","169","61","Belgium","Napoli","87","87","40000000","135000","CF","Right","4"
"178603","M. Hummels","30","32493","191","94","Germany","Borussia Dortmund","87","87","41000000","130000","CB","Right","3"
"184087","T. Alderweireld","30","32569","186","81","Belgium","Tottenham Hotspur","87","87","41000000","155000","CB","Right","2"
"189332","Jordi Alba","30","32588","170","68","Spain","FC Barcelona","87","87","40000000","240000","LB","Left","3"
"189509","Thiago","28","33339","174","70","Spain","FC Bayern MĂĽnchen","87","87","50000000","180000","CM","Right","3"
"193041","K. Navas","32","31761","185","80","Costa Rica","Real Madrid","87","87","30500000","195000","GK","Right","1"
"198219","L. Insigne","28","33393","163","59","Italy","Napoli","87","87","52000000","140000","CF","Right","3"
"222492","L. SanĂ©","23","35075","183","75","Germany","Manchester City","86","92","61000000","195000","LW","Left","4"
"207865","Marquinhos","25","34468","183","75","Brazil","Paris Saint-Germain","86","90","51500000","120000","CB","Right","3"
"232363","M. Ĺ kriniar","24","34741","187","80","Slovakia","Inter","86","90","52000000","89000","CB","Right","2"
"199556","M. Verratti","26","33913","165","60","Italy","Paris Saint-Germain","86","89","54500000","140000","CM","Right","4"
"205600","S. Umtiti","25","34287","182","75","France","FC Barcelona","86","89","50000000","210000","CB","Left","2"
"186153","W. SzczÄ™sny","29","32981","195","90","Poland","Juventus","86","88","37500000","135000","GK","Right","1"
"212622","J. Kimmich","24","34738","176","73","Germany","FC Bayern MĂĽnchen","86","88","48000000","125000","RB","Right","3"
"197781","Isco","27","33715","176","79","Spain","Real Madrid","86","87","51000000","245000","CAM","Right","3"
"201942","Roberto Firmino","27","33513","181","76","Brazil","Liverpool","86","87","52000000","170000","CF","Right","3"
"168651","I. RakitiÄ‡","31","32212","184","78","Croatia","FC Barcelona","86","86","38000000","245000","CM","Right","4"
"180206","M. PjaniÄ‡","29","32965","178","72","Bosnia Herzegovina","Juventus","86","86","42500000","180000","CM","Right","4"
"183898","A. Di MarĂ­a","31","32187","180","69","Argentina","Paris Saint-Germain","86","86","39000000","150000","RW","Left","2"
"184344","L. Bonucci","32","31898","190","85","Italy","Juventus","86","86","28500000","160000","CB","Right","2"
"189242","Coutinho","27","33767","172","68","Brazil","FC Bayern MĂĽnchen","86","86","46500000","175000","LW","Right","4"
"189513","Parejo","30","32614","182","74","Spain","Valencia CF","86","86","41000000","69000","CM","Right","3"
"189596","T. MĂĽller","29","32764","186","75","Germany","FC Bayern MĂĽnchen","86","86","43500000","170000","CAM","Right","4"
"192387","C. Immobile","29","32924","185","85","Italy","Lazio","86","86","44500000","105000","ST","Right","3"
"193301","A. Lacazette","28","33386","175","73","France","Arsenal","86","86","46000000","165000","ST","Right","4"
"235243","M. de Ligt","19","36384","189","89","Netherlands","Juventus","85","93","50000000","76000","CB","Right","2"
"230621","G. Donnarumma","20","36216","196","90","Italy","Milan","85","92","41500000","34000","GK","Right","1"
"228702","F. de Jong","22","35562","180","74","Netherlands","FC Barcelona","85","91","52000000","195000","CM","Right","3"
"201535","R. Varane","26","34084","191","81","France","Real Madrid","85","90","45000000","205000","CB","Right","2"
"212190","N. SĂĽle","23","34945","195","97","Germany","FC Bayern MĂĽnchen","85","90","46500000","115000","CB","Right","2"
"223848","S. MilinkoviÄ‡-SaviÄ‡","24","34757","191","76","Serbia","Lazio","85","90","50500000","73000","CM","Right","4"
"231866","Rodri","23","35238","191","82","Spain","Manchester City","85","90","47000000","150000","CDM","Right","4"
"208421","SaĂşl","24","34659","184","77","Spain","AtlĂ©tico Madrid","85","89","49500000","77000","CM","Left","3"
"209499","Fabinho","25","34265","188","78","Brazil","Liverpool","85","89","45000000","125000","CDM","Right","3"
"216267","A. Robertson","25","34404","178","64","Scotland","Liverpool","85","89","43500000","125000","LB","Left","3"
"216460","J. GimĂ©nez","24","34719","185","80","Uruguay","AtlĂ©tico Madrid","85","89","45000000","69000","CB","Right","2"
"220440","C. Lenglet","24","34867","186","81","France","FC Barcelona","85","89","45000000","175000","CB","Left","2"
"212198","Bruno Fernandes","24","34585","179","69","Portugal","Sporting CP","85","88","49000000","24000","CAM","Right","4"
"199482","A. Lopes","28","33147","184","81","Portugal","Olympique Lyonnais","85","87","33500000","88000","GK","Left","1"
"185122","P. GulĂˇcsi","29","32999","192","86","Hungary","RB Leipzig","85","86","31000000","69000","GK","Right","1"
"189117","R. BĂĽrki","28","33191","187","85","Switzerland","Borussia Dortmund","85","86","32000000","92000","GK","Right","1"
"192505","R. Lukaku","26","34102","190","94","Belgium","Inter","85","86","46000000","115000","ST","Left","3"
"192774","K. Manolas","28","33403","189","83","Greece","Napoli","85","86","37500000","105000","CB","Right","2"
"194404","Neto","29","32708","190","84","Brazil","FC Barcelona","85","86","31000000","175000","GK","Right","1"
"197445","D. Alaba","27","33779","180","78","Austria","FC Bayern MĂĽnchen","85","86","38000000","135000","LB","Left","4"
"201399","M. Icardi","26","34019","181","75","Argentina","Inter","85","86","46000000","115000","ST","Right","3"
"204963","Carvajal","27","33614","173","73","Spain","Real Madrid","85","86","38000000","205000","RB","Right","3"
"208670","H. Ziyech","26","34047","181","65","Morocco","Ajax","85","86","45000000","39000","CAM","Left","2"
"41236","Z. IbrahimoviÄ‡","37","29862","195","95","Sweden","LA Galaxy","85","85","14000000","15000","ST","Right","5"
"143076","A. GĂłmez","31","32188","165","68","Argentina","Atalanta","85","85","34000000","92000","CAM","Right","3"
"167664","G. HiguaĂ­n","31","32121","186","89","Argentina","Juventus","85","85","34500000","175000","ST","Right","3"
"170890","B. Matuidi","32","31876","180","75","France","Juventus","85","85","25000000","145000","CDM","Left","2"
"173731","G. Bale","29","32705","185","82","Wales","Real Madrid","85","85","37500000","250000","RW","Left","4"
"176676","Marcelo","31","32275","174","75","Brazil","Real Madrid","85","85","28000000","205000","LB","Left","5"
"177413","A. Witsel","30","32520","186","81","Belgium","Borussia Dortmund","85","85","31500000","110000","CDM","Right","4"
"191043","Alex Sandro","28","33264","180","80","Brazil","Juventus","85","85","33000000","155000","LB","Left","3"
"192629","Iago Aspas","31","31990","176","67","Spain","RC Celta","85","85","34500000","49000","ST","Left","3"
"193747","Koke","27","33611","176","74","Spain","AtlĂ©tico Madrid","85","85","40500000","88000","RM","Right","3"
"198710","J. RodrĂ­guez","27","33431","180","75","Colombia","Real Madrid","85","85","40500000","225000","CAM","Left","4"
"199914","Allan","28","33246","175","74","Brazil","Napoli","85","85","38000000","110000","CM","Right","4"
"233049","J. Sancho","19","36610","180","76","England","Borussia Dortmund","84","92","44500000","61000","RM","Right","4"
"235790","K. Havertz","20","36322","188","83","Germany","Bayer 04 Leverkusen","84","92","46000000","70000","CAM","Left","4"
"231443","O. DembĂ©lĂ©","22","35565","178","67","France","FC Barcelona","84","90","42500000","195000","RW","Left","5"
"206585","Kepa","24","34610","186","85","Spain","Chelsea","84","89","31000000","92000","GK","Right","1"
"210514","JoĂŁo Cancelo","25","34481","182","74","Portugal","Manchester City","84","89","36500000","150000","RB","Right","4"
"211117","D. Alli","23","35166","188","80","England","Tottenham Hotspur","84","89","41500000","115000","CAM","Right","3"
"220814","L. HernĂˇndez","23","35109","182","76","France","FC Bayern MĂĽnchen","84","89","37500000","110000","CB","Left","3"
"230658","Arthur","22","35289","171","73","Brazil","FC Barcelona","84","89","41000000","180000","CM","Right","4"
"202556","M. Depay","25","34378","176","78","Netherlands","Olympique Lyonnais","84","88","40500000","110000","CF","Right","3"
"209658","L. Goretzka","24","34736","189","79","Germany","FC Bayern MĂĽnchen","84","88","40000000","120000","CM","Right","3"
"212194","J. Brandt","23","35187","185","83","Germany","Borussia Dortmund","84","88","40500000","94000","CAM","Right","2"
"213345","K. Coman","23","35229","179","75","France","FC Bayern MĂĽnchen","84","88","40500000","120000","LM","Right","2"
"206113","S. Gnabry","23","34894","175","75","Germany","FC Bayern MĂĽnchen","84","87","39500000","120000","RM","Right","2"
"216594","N. Fekir","25","34168","173","75","France","Real Betis","84","87","39000000","40000","CAM","Left","4"
"192563","B. Leno","27","33667","190","83","Germany","Arsenal","84","86","26000000","91000","GK","Right","1"
"198706","Luis Alberto","26","33875","183","74","Spain","Lazio","84","86","37500000","78000","CAM","Right","2"
"212462","Alex Telles","26","33953","181","71","Brazil","FC Porto","84","86","33000000","23000","LB","Left","3"
"236583","J. Pavlenka","27","33708","196","81","Czech Republic","SV Werder Bremen","84","86","26000000","37000","GK","Right","1"
"198176","S. de Vrij","27","33639","189","78","Netherlands","Inter","84","85","31500000","88000","CB","Right","2"
"201995","Felipe Anderson","26","34074","175","70","Brazil","West Ham United","84","85","36500000","125000","LM","Right","4"
"120533","Pepe","36","30373","188","81","Portugal","FC Porto","84","84","6500000","16000","CB","Right","2"
"162347","JoĂŁo Moutinho","32","31663","170","61","Portugal","Wolverhampton Wanderers","84","84","23500000","125000","CM","Right","3"
"167628","S. Ruffier","32","31682","188","93","France","AS Saint-Ă‰tienne","84","84","19000000","41000","GK","Right","1"
"168435","S. Sirigu","32","31789","192","80","Italy","Torino","84","84","19000000","54000","GK","Right","1"
"171877","M. HamĹˇĂ­k","31","31985","183","73","Slovakia","Dalian YiFang FC","84","84","26500000","26000","CM","Right","3"
"172879","Sokratis","31","32303","186","85","Greece","Arsenal","84","84","23000000","115000","CB","Right","2"
"176266","Lucas Leiva","32","31786","179","78","Brazil","Lazio","84","84","20500000","71000","CDM","Right","3"
"176635","M. Ă–zil","30","32431","180","76","Germany","Arsenal","84","84","29500000","125000","CAM","Left","2"
"177610","Javi MartĂ­nez","30","32388","192","86","Spain","FC Bayern MĂĽnchen","84","84","25500000","125000","CDM","Right","3"
"177683","Y. Sommer","30","32494","183","79","Switzerland","Borussia MĂ¶nchengladbach","84","84","21000000","37000","GK","Right","1"
"180930","E. DĹľeko","33","31488","193","80","Bosnia Herzegovina","Roma","84","84","19500000","75000","ST","Right","2"
"181291","G. Wijnaldum","28","33188","175","69","Netherlands","Liverpool","84","84","31000000","140000","CM","Right","3"
"181458","I. PeriĹˇiÄ‡","30","32541","186","80","Croatia","FC Bayern MĂĽnchen","84","84","29500000","135000","LM","Right","4"
"181783","M. MandĹľukiÄ‡","33","31553","190","85","Croatia","Juventus","84","84","19500000","160000","ST","Right","3"
"181872","A. Vidal","32","31919","180","75","Chile","FC Barcelona","84","84","23500000","205000","CM","Right","4"
"183907","J. Boateng","30","32389","192","90","Germany","FC Bayern MĂĽnchen","84","84","25000000","125000","CB","Right","2"
"184432","Azpilicueta","29","32748","178","76","Spain","Chelsea","84","84","25500000","145000","RB","Right","3"
"185020","JosĂ© CallejĂłn","32","31819","178","73","Spain","Napoli","84","84","24000000","96000","RM","Right","3"
"186942","I. GĂĽndoÄźan","28","33170","180","80","Germany","Manchester City","84","84","31000000","180000","CM","Right","4"
"187961","Paulinho","30","32349","183","80","Brazil","Guangzhou Evergrande Taobao FC","84","84","29000000","43000","CM","Right","3"
"188377","K. Walker","29","33021","183","70","England","Manchester City","84","84","25500000","165000","RB","Right","2"
"190286","Canales","28","33285","176","65","Spain","Real Betis","84","84","31500000","44000","CAM","Left","2"
"190483","Douglas Costa","28","33130","172","70","Brazil","Juventus","84","84","31500000","155000","LM","Left","3"
"197965","Pizzi","29","32787","177","72","Portugal","SL Benfica","84","84","30500000","26000","RM","Right","4"
"199434","D. TadiÄ‡","30","32467","181","76","Serbia","Ajax","84","84","29500000","36000","CAM","Left","3"
"200647","J. IliÄŤiÄ‡","31","32171","190","79","Slovenia","Atalanta","84","84","28000000","92000","CF","Left","4"
"204485","R. Mahrez","28","33290","179","67","Algeria","Manchester City","84","84","31500000","195000","RW","Left","4"
"205678","E. ViĹˇÄ‡a","29","32921","172","63","Bosnia Herzegovina","Medipol BaĹźakĹźehir FK","84","84","30500000","67000","RM","Right","4"
"207863","Felipe","30","32644","190","83","Brazil","AtlĂ©tico Madrid","84","84","25000000","74000","CB","Right","2"
"226271","FabiĂˇn","23","35158","189","70","Spain","Napoli","83","90","36000000","76000","CM","Left","1"
"210413","A. Romagnoli","24","34711","188","78","Italy","Milan","83","89","32000000","46000","CB","Left","2"
"226226","G. Lo Celso","23","35164","177","68","Argentina","Tottenham Hotspur","83","89","35000000","105000","CM","Left","1"
"231281","T. Alexander-Arnold","20","36075","180","69","England","Liverpool","83","89","32000000","78000","RB","Right","3"
"232432","L. JoviÄ‡","21","35787","182","85","Serbia","Real Madrid","83","89","36500000","155000","ST","Right","3"
"205175","A. Milik","25","34393","186","78","Poland","Napoli","83","88","35000000","91000","ST","Left","4"
"211300","A. Martial","23","35038","184","76","France","Manchester United","83","88","34500000","140000","LW","Right","3"
"212523","Anderson Talisca","25","34366","190","80","Brazil","Guangzhou Evergrande Taobao FC","83","88","34500000","38000","CAM","Left","4"
"213331","J. Tah","23","35106","195","97","Germany","Bayer 04 Leverkusen","83","88","31000000","67000","CB","Right","2"
"219683","C. Tolisso","24","34549","181","81","France","FC Bayern MĂĽnchen","83","88","34000000","110000","CM","Right","3"
"221087","Pau LĂłpez","24","34681","189","77","Spain","Roma","83","88","26000000","38000","GK","Left","1"
"224411","GonĂ§alo Guedes","22","35398","179","68","Portugal","Valencia CF","83","88","34500000","46000","LM","Right","4"
"226110","N. PĂ©pĂ©","24","34848","183","73","Ivory Coast","Arsenal","83","88","34500000","97000","RM","Left","1"
"229237","M. Akanji","23","34899","187","91","Switzerland","Borussia Dortmund","83","88","31000000","77000","CB","Right","2"
"231677","M. Rashford","21","35734","186","70","England","Manchester United","83","88","35500000","125000","ST","Right","3"
"203574","J. Stones","25","34482","188","70","England","Manchester City","83","87","30000000","140000","CB","Right","3"
"210008","A. Rabiot","24","34792","192","80","France","Juventus","83","87","33000000","120000","CM","Left","3"
"210035","Grimaldo","23","34962","171","69","Spain","SL Benfica","83","87","29500000","18000","LB","Left","3"
"212188","T. Werner","23","35130","180","75","Germany","RB Leipzig","83","87","34500000","70000","ST","Right","3"
"213565","T. Lemar","23","35015","171","62","France","AtlĂ©tico Madrid","83","87","34000000","64000","LM","Left","3"
"220793","D. SĂˇnchez","23","35228","187","79","Colombia","Tottenham Hotspur","83","87","30500000","93000","CB","Right","2"
"220834","Marco Asensio","23","35085","182","76","Spain","Real Madrid","83","87","34000000","180000","LW","Left","3"
"200458","L. Digne","25","34170","178","74","France","Everton","83","86","28500000","97000","LB","Left","3"
"202166","J. Draxler","25","34232","187","77","Germany","Paris Saint-Germain","83","86","32500000","100000","CAM","Right","3"
"204935","J. Pickford","25","34400","185","77","England","Everton","83","86","24000000","78000","GK","Left","1"
"208418","Y. Carrasco","25","34216","180","71","Belgium","Dalian YiFang FC","83","86","32500000","23000","LM","Right","4"
"224179","Borja Iglesias","26","33986","187","86","Spain","Real Betis","83","86","32500000","41000","ST","Right","3"
"192984","K. Casteels","27","33780","197","86","Belgium","VfL Wolfsburg","83","85","22000000","50000","GK","Left","1"
"198717","W. Zaha","26","33918","180","66","Ivory Coast","Crystal Palace","83","85","32000000","89000","CF","Right","2"
"200454","Paco AlcĂˇcer","25","34211","175","72","Spain","Borussia Dortmund","83","85","32000000","105000","ST","Right","3"
"201153","Morata","26","33900","189","84","Spain","AtlĂ©tico Madrid","83","85","32000000","80000","ST","Right","3"
"205693","S. Haller","25","34507","190","82","France","West Ham United","83","85","32000000","120000","ST","Right","3"
"207566","William Carvalho","27","33701","187","83","Portugal","Real Betis","83","85","27500000","35000","CDM","Right","4"
"212404","F. Bernardeschi","25","34381","185","77","Italy","Juventus","83","85","31500000","130000","RM","Left","3"
"217940","D. DjenĂ©","27","33603","178","72","Togo","Getafe CF","83","85","27000000","35000","CB","Right","2"
"188152","Oscar","27","33490","181","71","Brazil","Shanghai SIPG FC","83","84","29500000","29000","CAM","Right","3"
"188943","K. Trapp","28","33062","189","86","Germany","Eintracht Frankfurt","83","84","21500000","42000","GK","Right","1"
"198141","Bartra","28","33253","184","73","Spain","Real Betis","83","84","25500000","36000","CB","Right","3"
"198950","Pablo Sarabia","27","33735","174","70","Spain","Paris Saint-Germain","83","84","29500000","105000","CAM","Left","2"
"199987","J. Cillessen","30","32620","185","83","Netherlands","Valencia CF","83","84","20000000","39000","GK","Right","1"
"200949","Lucas Moura","26","33829","174","70","Brazil","Tottenham Hotspur","83","84","31000000","130000","CF","Right","3"
"204970","F. Thauvin","26","33995","179","70","France","Olympique de Marseille","83","84","30500000","60000","RW","Left","3"
"205498","Jorginho","27","33592","180","67","Italy","Chelsea","83","84","29000000","140000","CM","Right","3"
"1179","G. Buffon","41","28518","192","92","Italy","Juventus","83","83","2600000","58000","GK","Right","1"
"5479","Casillas","38","29726","185","84","Spain","FC Porto","83","83","2600000","11000","GK","Left","1"
"104389","R. Jarstein","34","30954","190","86","Norway","Hertha BSC","83","83","11500000","33000","GK","Right","1"
"139720","V. Kompany","33","31512","190","85","Belgium","RSC Anderlecht","83","83","12000000","31000","CB","Right","2"
"157481","RaĂşl Albiol","33","31294","190","82","Spain","Villarreal CF","83","83","12000000","45000","CB","Right","2"
"159261","F. Quagliarella","36","30347","180","79","Italy","Sampdoria","83","83","9500000","46000","ST","Right","4"
"163587","K. Schmeichel","32","31721","189","89","Denmark","Leicester City","83","83","15500000","82000","GK","Right","1"
"167397","Falcao","33","31453","177","72","Colombia","AS Monaco","83","83","16500000","64000","ST","Right","3"
"168609","Miranda","34","30932","186","78","Brazil","Jiangsu Suning FC","83","83","9500000","32000","CB","Right","2"
"169416","C. Vela","30","32568","177","77","Mexico","Los Angeles FC","83","83","24500000","17000","RW","Left","3"
"170481","E. Garay","32","31695","189","90","Argentina","Valencia CF","83","83","16500000","48000","CB","Right","2"
"178005","Rui PatrĂ­cio","31","32188","190","84","Portugal","Wolverhampton Wanderers","83","83","16500000","82000","GK","Left","1"
"178518","R. Nainggolan","31","32267","176","77","Belgium","Cagliari","83","83","22500000","51000","CAM","Right","3"
"178562","E. Banega","31","32323","174","71","Argentina","Sevilla FC","83","83","19500000","26000","CDM","Right","3"
"179844","Diego Costa","30","32423","188","86","Spain","AtlĂ©tico Madrid","83","83","25000000","80000","ST","Right","2"
"179846","S. Khedira","32","31871","189","90","Germany","Juventus","83","83","19500000","135000","CM","Right","4"
"179944","David Luiz","32","31889","189","86","Brazil","Arsenal","83","83","16500000","105000","CB","Right","3"
"183574","M. Kruse","31","32221","180","76","Germany","FenerbahĂ§e SK","83","83","23500000","105000","CF","Left","2"
"183711","J. Henderson","29","33041","182","80","England","Liverpool","83","83","22000000","115000","CDM","Right","3"
"184484","G. SigurĂ°sson","29","32759","186","77","Iceland","Everton","83","83","25500000","120000","CAM","Right","3"
"186561","A. Ramsey","28","33233","183","76","Wales","Juventus","83","83","25500000","140000","CM","Right","3"
"190584","Illarramendi","29","32940","179","75","Spain","Real Sociedad","83","83","22000000","42000","CDM","Right","3"
"190815","D. Blind","29","32941","180","72","Netherlands","Ajax","83","83","22000000","31000","CDM","Left","3"
"190941","L. HrĂˇdeckĂ˝","29","32836","192","85","Finland","Bayer 04 Leverkusen","83","83","18500000","67000","GK","Right","1"
"192366","N. Otamendi","31","32185","183","81","Argentina","Manchester City","83","83","19000000","145000","CB","Right","2"
"193082","J. Cuadrado","31","32289","179","72","Colombia","Juventus","83","83","22500000","135000","RM","Right","3"
"193474","I. Gueye","29","32777","174","66","Senegal","Paris Saint-Germain","83","83","22000000","100000","CDM","Right","3"
"195365","K. Kampl","28","33155","178","67","Slovenia","RB Leipzig","83","83","25500000","77000","CM","Right","2"
"198329","Rodrigo","28","33303","182","77","Spain","Valencia CF","83","83","27000000","60000","ST","Left","4"
"199042","C. ArĂˇnguiz","30","32615","171","70","Chile","Bayer 04 Leverkusen","83","83","24000000","86000","CM","Right","4"
"199451","W. Ben Yedder","28","33097","170","68","France","AS Monaco","83","83","27000000","67000","ST","Right","4"
"199845","F. Acerbi","31","32183","192","88","Italy","Lazio","83","83","19000000","64000","CB","Left","3"
"200888","Danilo Pereira","27","33490","188","83","Portugal","FC Porto","83","83","24000000","21000","CDM","Right","3"
"216354","A. KramariÄ‡","28","33408","177","73","Croatia","TSG 1899 Hoffenheim","83","83","27000000","61000","ST","Right","2"
"230294","Louri Beretta","27","33663","188","83","Brazil","AtlĂ©tico Mineiro","83","83","27500000","60000","ST","Right","3"
"230375","JosuĂ© Chiamulera","27","33663","185","80","Brazil","GrĂŞmio","83","83","23500000","43000","CB","Right","2"
"230481","Ronaldo Cabrais","27","33663","177","75","Brazil","GrĂŞmio","83","83","27000000","51000","RW","Right","4"
"230142","Oyarzabal","22","35541","181","78","Spain","Real Sociedad","82","89","31000000","39000","LW","Left","1"
"229906","L. Bailey","21","35651","178","79","Jamaica","Bayer 04 Leverkusen","82","88","30500000","65000","LW","Left","4"
"230666","Gabriel Jesus","22","35523","175","73","Brazil","Manchester City","82","88","31000000","140000","ST","Right","4"
"207410","M. KovaÄŤiÄ‡","25","34460","176","78","Croatia","Chelsea","82","87","29000000","125000","CM","Right","4"
"208596","A. Belotti","25","34323","181","72","Italy","Torino","82","87","30000000","63000","ST","Right","3"
"212151","T. Strakosha","24","34777","193","78","Albania","Lazio","82","87","22000000","39000","GK","Right","1"
"220971","N. KeĂŻta","24","34740","172","64","Guinea","Liverpool","82","87","29000000","95000","CM","Right","4"
"223959","L. Torreira","23","35106","168","64","Uruguay","Arsenal","82","87","27000000","80000","CDM","Right","3"
"224293","RĂşben Neves","22","35502","180","80","Portugal","Wolverhampton Wanderers","82","87","29000000","89000","CM","Right","3"
"225850","P. Kimpembe","23","34924","189","80","France","Paris Saint-Germain","82","87","26500000","75000","CB","Left","2"
"225953","S. Bergwijn","21","35711","178","78","Netherlands","PSV","82","87","30000000","22000","RW","Right","2"
"226753","A. Onana","23","35157","187","93","Cameroon","Ajax","82","87","22000000","18000","GK","Right","1"
"227928","NĂ©lson Semedo","25","34289","177","67","Portugal","FC Barcelona","82","87","26000000","150000","RB","Right","4"
"193105","A. Areola","26","34027","195","94","France","Paris Saint-Germain","82","86","21000000","71000","GK","Right","1"
"198009","M. Perin","26","33918","188","77","Italy","Juventus","82","86","21000000","90000","GK","Right","1"
"211320","D. Rugani","24","34544","190","84","Italy","Juventus","82","86","26000000","95000","CB","Right","2"
"214997","A. Correa","24","34767","171","68","Argentina","AtlĂ©tico Madrid","82","86","29000000","59000","RM","Right","4"
"216201","IĂ±aki Williams","25","34500","186","79","Spain","Athletic Club de Bilbao","82","86","29000000","36000","ST","Right","2"
